name,state,par_median,k_median,par_q1,kq5_cond_parq1,count
Vaughn College Of Aeronautics And Technology,NY,30900,53000,.36477882,.44843543,207.6666666666667
CUNY Bernard M. Baruch College,NY,42800,57600,.27632242,.46824235,1083
City College Of New York - CUNY,NY,35500,48500,.32546476,.36021557,582.3333333333334
CUNY Lehman College,NY,32500,40700,.36707491,.27882966,468.3333333333333
"California State University, Los Angeles",CA,36600,43000,.33116928,.29949805,1179.666666666667
CUNY John Jay College Of Criminal Justice,NY,41800,45200,.27158952,.35684139,1228
MCPHS University,MA,83300,112700,.10234574,.91293561,173.5
Pace University,NY,68600,60700,.15173292,.55575591,1353.333333333333
State University Of New York At Stony Brook,NY,73600,60100,.16416624,.51245296,2070.666666666667
New York City College Of Technology Of The City University Of New,NY,33500,37000,.35256514,.23638399,1488.333333333333
ITI Technical College,LA,56000,55000,.20257363,.40163651,92
Texas A&M International University,TX,35400,42800,.31893793,.25357273,258
CUNY Brooklyn College,NY,52200,44300,.23247004,.34696299,1009.666666666667
Technical Career Institutes,NY,29700,31300,.40302402,.19843748,562
University Of Texas - Pan American,TX,31700,39300,.38702601,.19763009,1723.666666666667
CUNY Hunter College,NY,49800,44400,.21163614,.35636646,1489.333333333333
Crimson Technical College,CA,44700,37600,.25033554,.30048823,156
Wood Tobe - Coburn School,NY,29500,24500,.41312566,.17706722,129
United Talmudical Seminary,NY,21200,15300,.60977477,.11770001,218
CUNY Queens College,NY,63300,48200,.20142742,.35438401,1052.666666666667
Glendale Community College,CA,40100,30500,.32359213,.21885973,1437
South Texas College,TX,23900,27500,.52360696,.13195425,1881.333333333333
"California State Polytechnic University, Pomona",CA,80200,55100,.14929721,.45770481,2195.333333333333
University Of Texas At El Paso,TX,42400,38400,.2800138,.24358624,1665.666666666667
CUNY York College,NY,36500,36400,.30660444,.22242035,368
"Saint John's University of Queens, NY",NY,69200,58900,.14343631,.47379467,2363.333333333333
"University Of California, Irvine",CA,92100,60400,.12246905,.55264693,3244.333333333333
Trocaire College,NY,65400,38200,.23652473,.28479484,82.5
"Western Technical College of El Paso, TX",TX,30500,23900,.43691811,.15413421,224
Laredo Community College,TX,27400,28700,.43076658,.15581796,1331.333333333333
University Of Texas At Brownsville,TX,26400,29800,.47349706,.14033644,1351.333333333333
Saint Francis College,NY,70500,53000,.13452873,.49203572,365.3333333333333
"CUNY, Hostos Community College",NY,26700,27700,.45826006,.14185499,235.3333333333333
New Jersey Institute Of Technology,NJ,84000,71600,.10139067,.63790905,612.6666666666666
Mount St. Mary's College,CA,48500,44900,.21239695,.30078995,222.3333333333333
Woodbury University,CA,61900,44300,.18690574,.34051168,115.6666666666667
"California State University, Northridge",CA,61100,44100,.19794104,.31953251,2348.666666666667
CUNY Borough Of Manhattan Community College,NY,33500,31900,.35075352,.17514886,2047.333333333333
Texas State Technical College Harlingen,TX,29100,25400,.43211061,.14214651,873.6666666666666
CUNY Laguardia Community College,NY,33800,31800,.36779636,.1646369,1178
Bloomfield College,NJ,40800,35600,.26851264,.22484525,227
"University Of California, Riverside",CA,75000,52800,.14668724,.41020814,2364.333333333333
CUNY Bronx Community College,NY,29700,28700,.40972704,.14355651,778.6666666666666
College Of Mount Saint Vincent And Manhattan College,NY,94800,67900,.092331685,.6263895,831
"Berkeley College of New York, NY",NY,42500,36500,.27447081,.21035694,372
Tulsa Welding School,OK,43900,26100,.27616358,.20878515,255
Southwest Texas Junior College,TX,28100,28000,.42978165,.13336743,773.6666666666666
"California State University, Dominguez Hills",CA,45600,40300,.2631824,.2128173,451.3333333333333
"University Of California, Los Angeles",CA,105500,65800,.10242689,.54636556,4734
Hallmark College Of Technology,TX,42400,33200,.31601173,.17677213,108.5
Queensborough Community College-CUNY,NY,42200,32400,.27576023,.20115633,1494
Long Island University System,NY,59000,39900,.18595895,.29769799,1677
Albertus Magnus College,CT,68600,43400,.12973523,.42551869,65.66666666666667
Saint Peter's University,NJ,59700,45500,.20468722,.2685788,447.6666666666667
San Jose State University,CA,91700,56500,.11658612,.46557117,2182.333333333333
New York Institute Of Technology,NY,78500,49900,.1460806,.36985093,637.3333333333334
New Jersey City University,NJ,51600,41200,.20409746,.26058468,783.6666666666666
Texas A&M University - Kingsville,TX,47700,39800,.25405338,.20836183,823
Xavier University Of Louisiana,LA,63100,48400,.16702759,.31462702,657.3333333333334
Sul Ross State University,TX,45000,37100,.23651515,.2219535,285.3333333333333
Tuskegee University,AL,54400,38900,.18653946,.28048244,522.6666666666666
Florida International University,FL,66700,46800,.15013786,.34801069,2864.5
Saint Mary's University,TX,76700,49700,.13445237,.38036057,438
Binghamton University,NY,104400,65700,.094252944,.53978479,1975
CUNY Medgar Evers College,NY,35100,30900,.30484688,.1655872,284
SUNY College At Old Westbury,NY,48400,39200,.2058821,.24483013,251
California Maritime Academy,CA,113100,85800,.059269119,.8497473,92
Dillard University,LA,42600,36700,.24772984,.20298244,414.1666666666667
Utica College,NY,67500,47800,.1310263,.38360474,345
Kingsborough Commmunity College/CUNY,NY,40700,31300,.27106011,.18359834,1624.666666666667
Dowling College,NY,71500,45800,.16336198,.30326214,275
University Of Houston System,TX,65700,45400,.15731335,.31238103,4619.333333333333
"University Of California, Berkeley",CA,114700,67900,.088423379,.55246651,4624.333333333333
Midland College,TX,58600,35900,.18844025,.25685894,768.6666666666666
"University Of California, San Diego",CA,111300,65300,.087772354,.55060005,3264.666666666667
Imperial Valley College,CA,34300,25800,.35884327,.13431495,885.6666666666666
Pasadena City College,CA,44600,29500,.27937716,.17234071,3321.333333333333
"California State University, Fullerton",CA,83300,47800,.12116247,.39610577,2374
El Paso Community College,TX,29200,25700,.40920174,.11668072,2837.666666666667
Reid State Technical College,AL,34600,17500,.34119484,.13939928,105
Lamar Institute Of Technology,TX,52600,34400,.2428209,.19470011,437.3333333333333
Odessa College,TX,50900,34800,.20727979,.22722612,912.3333333333334
Robert Morgan And Miami Lakes Educational Centers,FL,32200,23000,.35539445,.13001621,175.3333333333333
Grambling State University,LA,34300,30500,.34357506,.13437594,815.6666666666666
Miami Dade Community College System,FL,37000,31300,.31510422,.14626253,7259.333333333333
"California State University, Bakersfield",CA,67700,46100,.14064996,.32759681,542.6666666666666
Art Center College Of Design,CA,84800,42800,.14908856,.30677685,109.5
Saint Thomas University,FL,37500,35300,.28582835,.15930745,125
Texas State Technical College West Texas,TX,41000,28900,.2687678,.16656302,411.5
Triangle Tech,PA,55800,37500,.1749585,.25422829,327
"University Of California, Davis",CA,109400,61600,.085837573,.51769853,3996
"California State University, Long Beach",CA,85800,48800,.11606012,.38175958,2863.666666666667
"California State University, San Bernardino",CA,69800,43500,.1409772,.31198096,1151.666666666667
Santa Monica College,CA,51300,28800,.22690758,.19325553,2886.666666666667
"California State University, East Bay",CA,86000,51300,.098883428,.43979919,696.6666666666666
New Mexico Junior College,NM,50000,31300,.22042319,.19683868,352.3333333333333
Southern University And Agricultural & Mechanical Colg At Baton R,LA,38600,34200,.31241488,.1388679,1561
Stevens Institute Of Technology,NJ,96000,92100,.068676248,.62470394,293
