st_id,per_math1,per_hindi1,per_math2,per_hindi2,st_age1,st_female1,st_grade1,treat,ses_index
CH002,.34285715,.56666666,.70588237,.56666666,,1,7,0,-1.254632
CH003,.34285715,.43333334,.45714286,.43333334,,1,8,0,-.54908311
CH004,.37142858,.33333334,.23529412,.30000001,,1,5,0,-.54908311
CH005,.22857143,.40000001,.61764705,.73333335,,1,7,0,1.6231838
CH007,.37142858,.43333334,.52941179,.5,,1,6,1,.92924875
CH008,.34285715,.36666667,.52941179,.60000002,,1,6,0,1.4008003
CH009,.34285715,.60000002,.80000001,.86666667,,1,8,0,2.4518538
CH010,.45714286,.60000002,.61764705,.56666666,,1,5,0,3.1457887
CH011,.2857143,.2,.34285715,.43333334,14,1,8,0,-3.6438587
CH012,.25714287,.46666667,.44117647,.26666668,,1,7,1,-.71254671
CH013,.2857143,.36666667,,,,1,7,1,2.7408636
CH014,.34285715,.2,.47058824,.23333333,14,1,7,1,.6448682
CH017,.34285715,.53333336,.34285715,.69999999,,1,9,0,1.6231838
CH018,.40000001,.30000001,.41176471,.76666665,,1,6,0,2.8658571
CH019,.34285715,.5,.38235295,.60000002,,1,6,0,1.4008003
CH020,.22857143,.30000001,.41176471,.43333334,,1,6,1,1.4008003
CH021,.37142858,.63333333,,,,1,7,1,.92924875
CH022,.37142858,.63333333,,,,1,7,1,1.4008003
CH023,.5714286,.66666669,.60000002,.80000001,,1,8,0,1.6909915
CH024,.54285717,.80000001,.85714287,.89999998,,1,8,0,3.9075315
CH025,.2,.5,.5714286,.5,,1,8,1,1.4008003
CH026,.14285715,.46666667,.55882353,.63333333,,1,6,0,.6448682
CH027,.48571429,.66666669,.60000002,.73333335,,1,8,0,3.6173403
CH028,.42857143,.56666666,.45714286,.76666665,13,1,9,0,1.6231838
CH029,.2857143,.86666667,.91428572,.93333334,,1,8,1,.19406788
CH031,.22857143,.60000002,.65714288,.80000001,,1,8,0,.69525146
CH032,.37142858,.69999999,.67647058,.69999999,,1,6,1,.92924875
CH033,.37142858,.53333336,.85714287,.76666665,,1,8,0,1.4008003
CH034,.31428573,.66666669,.5714286,.76666665,,1,8,0,2.8247538
CH035,.22857143,.53333336,.47058824,.69999999,,1,6,0,2.8247538
CH037,.2857143,.53333336,.7647059,.5,,1,8,1,1.6231838
CH038,.34285715,.69999999,.77142859,.66666669,,1,8,1,3.1243238
CH039,.22857143,.23333333,.45714286,.73333335,,1,8,0,2.1719222
CH040,.34285715,.66666669,.62857145,.83333331,,1,9,1,.92924875
CH041,.37142858,.46666667,,,,1,9,1,4.7761235
CH042,.2857143,.36666667,.65714288,.69999999,,1,9,1,1.6231838
CH043,.14285715,.16666667,.38235295,.40000001,,1,5,0,-.5322324
CH046,.34285715,.43333334,.29411766,.66666669,,1,6,0,-1.503188
CH047,.40000001,.86666667,.88571429,.86666667,12,1,8,1,.63325435
CH048,.37142858,.80000001,,,,1,6,1,3.4359798
CH049,.34285715,.5,,,10,1,6,0,.92924875
CH050,.34285715,.33333334,.45714286,.46666667,,1,9,0,1.4008003
CH051,.25714287,.53333336,.7352941,.66666669,,1,7,1,-.58144826
CH052,.51428574,.53333336,.7647059,.83333331,12,1,,1,1.2194399
CH053,.2857143,.23333333,.45714286,.56666666,14,1,8,0,.12410065
CH054,.42857143,.5,.7352941,.66666669,,1,6,1,1.6909915
CH055,.34285715,.53333336,.6857143,.66666669,13,1,8,1,.22369985
CH056,.34285715,.36666667,.40000001,.43333334,14,1,8,0,1.6909915
CH057,.11428571,.2,.23529412,.33333334,11,1,6,0,.93505925
CH058,.2857143,.5,.65714288,.66666669,,1,8,1,1.6231838
CH059,.40000001,.46666667,.62857145,.69999999,,1,8,0,1.4008003
CH060,.2,.1,.31428573,.63333333,,1,8,1,.63325435
CH062,.42857143,.46666667,.60000002,.60000002,14,1,9,0,.92924875
CH063,.31428573,.56666666,.82352942,.73333335,,1,6,1,.59565228
CH064,.31428573,.36666667,.55882353,.69999999,,1,6,1,2.4835782
CH065,.34285715,.53333336,.85714287,.80000001,,1,9,1,-.17367122
CH066,.42857143,.69999999,.71428573,.76666665,,1,9,0,1.6231838
CH067,.42857143,.66666669,,,14,1,9,1,1.3891865
CH068,.2857143,.40000001,.32352942,.2,11,1,6,1,-1.4715917
CH069,.22857143,.33333334,.47058824,.33333334,12,1,6,1,2.0947354
CH070,.2857143,.26666668,.51428574,.53333336,16,1,9,1,.22369985
CH073,.17142858,.16666667,.29411766,.2,11,1,6,0,1.6231838
CH075,.14285715,.33333334,.25714287,.69999999,,1,8,0,1.6231838
CH076,.085714288,0,,,12,1,6,1,2.1308188
CH077,.40000001,.69999999,.5714286,.69999999,14,1,8,1,3.0721581
CH078,.17142858,.40000001,.67647058,.53333336,11,1,7,1,1.6231838
CH079,.42857143,.69999999,.6857143,.83333331,,1,8,1,.92924875
CH080,.40000001,.60000002,.51428574,.56666666,14,1,8,0,-.060680747
CH082,.2857143,.53333336,.62857145,.76666665,,1,8,1,-.63183159
CH086,.42857143,.73333335,.82352942,.89999998,,1,6,0,3.1868923
CH087,.22857143,.36666667,.40000001,.60000002,16,1,9,1,2.8658571
CH088,.34285715,.23333333,.54285717,.66666669,14,1,9,1,.22369985
CH090,.40000001,.40000001,.65714288,.66666669,14,1,8,0,.22369985
CH091,.34285715,.46666667,.48571429,.56666666,,1,9,0,.92924875
CH093,.37142858,.33333334,.48571429,.66666669,,1,8,1,2.9645088
CH095,.2,.33333334,.22857143,.53333336,,1,8,1,1.6231838
CH096,.37142858,.40000001,.51428574,.73333335,,1,9,0,2.0947354
CH098,.51428574,.69999999,.70588237,.89999998,,1,6,1,.16170271
CH099,.2857143,.46666667,.35294119,.56666666,11,1,6,0,.22369985
CH100,.40000001,.36666667,.37142858,.53333336,,1,9,1,2.3849266
CH101,.17142858,.23333333,.35294119,.23333333,,1,7,1,.6448682
CH102,.31428573,.40000001,.45714286,.56666666,14,1,8,0,2.0947354
CH103,.37142858,.56666666,.6857143,.80000001,,1,8,0,.72761667
CH104,.31428573,.63333333,.6857143,.80000001,13,1,8,0,.92924875
CH105,.37142858,.66666669,,,13,1,8,1,1.4008003
CH106,.25714287,.13333334,,,14,1,7,1,-1.7203732
CH107,.31428573,.43333334,.35294119,.30000001,11,1,6,1,.9176349
CH108,.45714286,.56666666,.7352941,.73333335,10,1,6,0,.12410065
CH109,.40000001,.76666665,.85714287,.86666667,,1,9,0,1.1854135
CH110,.51428574,.73333335,.71428573,.80000001,14,1,9,0,2.1719222
CH111,.34285715,.66666669,.38235295,.56666666,11,1,6,1,1.4008003
CH112,.14285715,.43333334,.44117647,.63333333,11,1,6,1,.12410065
CH115,.45714286,.76666665,.85714287,.89999998,14,1,9,0,1.6909915
