st_id,class,mathlevel,hindilevel,rct,treat
GP044,7,6,8,1,1
GP028,6,3,5,1,1
GP043,7,5,6,1,1
GP048,7,,,1,1
GP031,6,2,3,1,1
GP095,6,4,7,1,1
GP022,7,3,7,1,1
GP036,6,2,3,1,1
GP047,7,,,1,1
GP041,7,4,8,1,1
GP062,6,4,7,1,1
GP032,7,4,6,1,1
GP040,6,3,3,1,1
GP085,7,4,6,1,1
GP059,7,5,8,1,1
GP086,7,4,7,1,1
GP061,8,6,8,1,1
GP058,7,5,8,1,1
GP054,6,3,7,1,1
GP052,8,6,6,1,1
GP038,8,5,8,1,1
GP002,8,3,2,1,1
GP070,8,5,8,1,1
GP017,7,,,1,1
GP091,8,5,6,1,1
GP055,7,4,7,1,1
GP087,8,5,5,1,1
GP011,7,4,5,1,1
GP019,8,4,6,1,1
GP089,6,3,5,1,1
GP039,8,5,8,1,1
GP015,8,,,1,1
GP056,6,4,6,1,1
GP007,6,3,6,1,1
GP076,6,3,5,1,1
GP016,7,,,1,1
TK001,7,3,7,1,1
TK006,8,4,6,1,1
TK007,8,4,7,1,1
TK009,8,5,7,1,1
TK011,6,5,7,1,1
TK012,8,5,8,1,1
TK018,7,3,3,1,1
TK022,7,3,8,1,1
TK023,8,3,4,1,1
TK024,6,3,7,1,1
TK027,6,6,7,1,1
TK030,8,4,7,1,1
TK031,,,,1,1
TK032,6,3,5,1,1
TK035,7,3,3,1,1
TK037,,2,2,1,1
TK038,9,5,6,1,1
TK040,9,,,1,1
TK046,9,,,1,1
TK047,8,4,6,1,1
TK048,9,,,1,1
TK049,7,7,,1,1
TK050,7,5,7,1,1
TK051,9,3,6,1,1
TK052,6,3,5,1,1
TK060,6,5,6,1,1
TK062,8,3,5,1,1
TK068,6,4,4,1,1
TK070,7,3,5,1,1
TK071,7,4,7,1,1
TK072,8,3,8,1,1
TK073,6,,,1,1
TK074,8,3,6,1,1
TK076,6,4,5,1,1
TK082,7,4,5,1,1
TK088,8,3,5,1,1
TK092,8,4,8,1,1
TK094,7,3,5,1,1
TK095,7,3,8,1,1
TK096,6,4,7,1,1
